,POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w,year,TeamName,unique,imaged_url
19,20,Deepak Chahar,10,10,34.0,297,13,22/3,22.84,8.73,15.69,0,0,2023,CSK,deepakchahar,https://scores.iplt20.com/ipl/playerimages/Deepak%20Chahar.png
20,21,Nathan Ellis,10,10,38.0,339,13,30/4,26.07,8.92,17.53,1,0,2023,PBKS,nathanellis,https://scores.iplt20.com/ipl/playerimages/Nathan%20Ellis.png
21,22,Yash Thakur,9,9,31.5,289,13,37/4,22.23,9.07,14.69,1,0,2023,LSG,yashthakur,https://scores.iplt20.com/ipl/playerimages/Yash%20Thakur.png
22,23,Mayank Markande,10,10,38.0,300,12,15/4,25.0,7.89,19.0,1,0,2023,SRH,mayankmarkande,https://scores.iplt20.com/ipl/playerimages/Mayank%20Markande.png
23,24,Mitchell Marsh,9,8,20.1,170,12,27/4,14.16,8.42,10.08,1,0,2023,DC,mitchellmarsh,https://scores.iplt20.com/ipl/playerimages/Mitchell%20Marsh.png
24,25,Axar Patel,14,13,47.0,338,11,13/2,30.72,7.19,25.63,0,0,2023,DC,axarpatel,https://scores.iplt20.com/ipl/playerimages/Axar%20Patel.png
25,26,Naveen-ul-Haq,8,7,28.0,219,11,38/4,19.9,7.82,15.27,1,0,2023,LSG,naveenulhaq,https://scores.iplt20.com/ipl/playerimages/Naveen-ul-Haq.png
26,27,Sunil Narine,14,14,48.0,383,11,33/3,34.81,7.97,26.18,0,0,2023,KKR,sunilnarine,https://scores.iplt20.com/ipl/playerimages/Sunil%20Narine.png
27,28,Maheesh Theekshana,13,13,49.0,392,11,23/2,35.63,8.0,26.72,0,0,2023,CSK,maheeshtheekshana,https://scores.iplt20.com/ipl/playerimages/Maheesh%20Theekshana.png
28,29,Mark Wood,4,4,16.0,130,11,14/5,11.81,8.12,8.72,0,1,2023,LSG,markwood,https://scores.iplt20.com/ipl/playerimages/Mark%20Wood.png
29,30,Kuldeep Yadav,14,14,49.0,361,10,15/2,36.1,7.36,29.4,0,0,2023,DC,kuldeepyadav,https://scores.iplt20.com/ipl/playerimages/Kuldeep%20Yadav.png
30,31,Suyash Sharma,11,11,39.0,321,10,30/3,32.1,8.23,23.4,0,0,2023,KKR,suyashsharma,https://scores.iplt20.com/ipl/playerimages/Suyash%20Sharma.png
31,32,Ishant Sharma,8,8,25.0,206,10,19/2,20.6,8.24,15.0,0,0,2023,DC,ishantsharma,https://scores.iplt20.com/ipl/playerimages/Ishant%20Sharma.png
32,33,Sandeep Sharma,12,12,46.0,396,10,25/2,39.6,8.6,27.6,0,0,2023,RR,sandeepsharma,https://scores.iplt20.com/ipl/playerimages/Sandeep%20Sharma.png
33,34,Anrich Nortje,10,10,40.0,364,10,20/2,36.4,9.1,24.0,0,0,2023,DC,anrichnortje,https://scores.iplt20.com/ipl/playerimages/Anrich%20Nortje.png
34,35,T Natarajan,12,12,45.0,410,10,23/2,41.0,9.11,27.0,0,0,2023,SRH,tnatarajan,https://scores.iplt20.com/ipl/playerimages/T%20Natarajan.png
35,36,Marco Jansen,8,8,27.0,267,10,16/2,26.7,9.88,16.2,0,0,2023,SRH,marcojansen,https://scores.iplt20.com/ipl/playerimages/Marco%20Jansen.png
36,37,Sam Curran,14,14,47.5,489,10,31/3,48.9,10.22,28.7,0,0,2023,PBKS,samcurran,https://scores.iplt20.com/ipl/playerimages/Sam%20Curran.png
37,38,Karn Sharma,7,7,21.3,223,10,19/2,22.3,10.37,12.9,0,0,2023,RCB,karnsharma,https://scores.iplt20.com/ipl/playerimages/Karn%20Sharma.png
38,39,Krunal Pandya,15,12,42.0,313,9,18/3,34.77,7.45,28.0,0,0,2023,LSG,krunalpandya,https://scores.iplt20.com/ipl/playerimages/Krunal%20Pandya.png
39,40,Moeen Ali,15,11,26.0,195,9,26/4,21.66,7.5,17.33,1,0,2023,CSK,moeenali,https://scores.iplt20.com/ipl/playerimages/Moeen%20Ali.png
40,41,Harpreet Brar,13,11,27.1,218,9,30/4,24.22,8.02,18.11,1,0,2023,PBKS,harpreetbrar,https://scores.iplt20.com/ipl/playerimages/Harpreet%20Brar.png
41,42,Wanindu Hasaranga,8,8,29.0,258,9,24/2,28.66,8.89,19.33,0,0,2023,RCB,waninduhasaranga,https://scores.iplt20.com/ipl/playerimages/Wanindu%20Hasaranga.png
42,43,Khaleel Ahmed,9,9,33.0,301,9,24/2,33.44,9.12,22.0,0,0,2023,DC,khaleelahmed,https://scores.iplt20.com/ipl/playerimages/Khaleel%20Ahmed.png
43,44,Wayne Parnell,7,7,25.1,236,9,10/3,26.22,9.37,16.77,0,0,2023,RCB,wayneparnell,https://scores.iplt20.com/ipl/playerimages/Wayne%20Parnell.png
44,45,Vyshak Vijaykumar,7,7,24.0,253,9,20/3,28.11,10.54,16.0,0,0,2023,RCB,vyshakvijaykumar,https://scores.iplt20.com/ipl/playerimages/Vyshak%20Vijaykumar.png
45,46,Rahul Chahar,14,14,49.4,385,8,16/2,48.12,7.75,37.25,0,0,2023,PBKS,rahulchahar,https://scores.iplt20.com/ipl/playerimages/Rahul%20Chahar.png
46,47,Adam Zampa,6,6,22.0,188,8,22/3,23.5,8.54,16.5,0,0,2023,RR,adamzampa,https://scores.iplt20.com/ipl/playerimages/Adam%20Zampa.png
47,48,Avesh Khan,9,9,29.0,283,8,25/3,35.37,9.75,21.75,0,0,2023,LSG,aveshkhan,https://scores.iplt20.com/ipl/playerimages/Avesh%20Khan.png
48,49,Amit Mishra,7,7,19.0,149,7,21/2,21.28,7.84,16.28,0,0,2023,LSG,amitmishra,https://scores.iplt20.com/ipl/playerimages/Amit%20Mishra.png
49,50,Josh Little,10,10,34.0,294,7,25/2,42.0,8.64,29.14,0,0,2023,GT,joshlittle,https://scores.iplt20.com/ipl/playerimages/Josh%20Little.png
50,51,Alzarri Joseph,7,7,24.0,225,7,27/2,32.14,9.37,20.57,0,0,2023,GT,alzarrijoseph,https://scores.iplt20.com/ipl/playerimages/Alzarri%20Joseph.png
51,52,Kagiso Rabada,6,6,23.0,232,7,34/2,33.14,10.08,19.71,0,0,2023,PBKS,kagisorabada,https://scores.iplt20.com/ipl/playerimages/Kagiso%20Rabada.png
52,53,Shardul Thakur,11,9,21.0,220,7,23/2,31.42,10.47,18.0,0,0,2023,KKR,shardulthakur,https://scores.iplt20.com/ipl/playerimages/Shardul%20Thakur.png
53,54,Mukesh Kumar,10,10,31.0,326,7,30/2,46.57,10.51,26.57,0,0,2023,DC,mukeshkumar,https://scores.iplt20.com/ipl/playerimages/Mukesh%20Kumar.png
54,55,Riley Meredith,5,5,19.4,207,7,33/2,29.57,10.52,16.85,0,0,2023,MI,rileymeredith,https://scores.iplt20.com/ipl/playerimages/Riley%20Meredith.png
55,56,Andre Russell,14,9,15.1,172,7,22/3,24.57,11.34,13.0,0,0,2023,KKR,andrerussell,https://scores.iplt20.com/ipl/playerimages/Andre%20Russell.png
56,57,Michael Bracewell,5,5,11.0,95,6,13/2,15.83,8.63,11.0,0,0,2023,RCB,michaelbracewell,https://scores.iplt20.com/ipl/playerimages/Michael%20Bracewell.png
57,58,Cameron Green,16,16,38.0,361,6,41/2,60.16,9.5,38.0,0,0,2023,MI,camerongreen,https://scores.iplt20.com/ipl/playerimages/Cameron%20Green.png
58,59,Harshit Rana,6,6,17.0,147,5,33/2,29.4,8.64,20.4,0,0,2023,KKR,harshitrana,https://scores.iplt20.com/ipl/playerimages/Harshit%20Rana.png
59,60,Kumar Kartikeya Singh,8,8,26.0,227,5,37/2,45.4,8.73,31.2,0,0,2023,MI,kumarkartikeyasingh,https://scores.iplt20.com/ipl/playerimages/Kumar%20Kartikeya%20Singh.png
60,61,Vaibhav Arora,5,5,16.0,146,5,30/2,29.2,9.12,19.2,0,0,2023,KKR,vaibhavarora,https://scores.iplt20.com/ipl/playerimages/Vaibhav%20Arora.png
61,62,Marcus Stoinis,15,5,10.5,100,5,20/2,20.0,9.23,13.0,0,0,2023,LSG,marcusstoinis,https://scores.iplt20.com/ipl/playerimages/Marcus%20Stoinis.png
62,63,Akash Singh,6,6,19.0,188,5,40/2,37.6,9.89,22.8,0,0,2023,CSK,akashsingh,https://scores.iplt20.com/ipl/playerimages/Akash%20Singh.png
63,64,Umran Malik,8,8,20.0,217,5,32/2,43.4,10.85,24.0,0,0,2023,SRH,umranmalik,https://scores.iplt20.com/ipl/playerimages/Umran%20Malik.png
64,65,Arshad Khan,6,6,14.1,190,5,39/3,38.0,13.41,17.0,0,0,2023,MI,arshadkhan,https://scores.iplt20.com/ipl/playerimages/Arshad%20Khan.png
65,66,Fazalhaq Farooqi,4,4,13.2,117,4,41/2,29.25,8.77,20.0,0,0,2023,SRH,fazalhaqfarooqi,https://scores.iplt20.com/ipl/playerimages/Fazalhaq%20Farooqi.png
66,67,Jason Holder,8,8,28.3,284,4,29/2,71.0,9.96,42.75,0,0,2023,RR,jasonholder,https://scores.iplt20.com/ipl/playerimages/Jason%20Holder.png
67,68,Mitchell Santner,3,3,12.0,81,3,28/2,27.0,6.75,24.0,0,0,2023,CSK,mitchellsantner,https://scores.iplt20.com/ipl/playerimages/Mitchell%20Santner.png
68,69,David Willey,4,4,15.0,105,3,16/2,35.0,7.0,30.0,0,0,2023,RCB,davidwilley,https://scores.iplt20.com/ipl/playerimages/David%20Willey.png
69,70,Krishnappa Gowtham,7,6,16.0,118,3,10/1,39.33,7.37,32.0,0,0,2023,LSG,krishnappagowtham,https://scores.iplt20.com/ipl/playerimages/Krishnappa%20Gowtham.png
70,71,Anukul Roy,4,3,8.0,65,3,19/2,21.66,8.12,16.0,0,0,2023,KKR,anukulroy,https://scores.iplt20.com/ipl/playerimages/Anukul%20Roy.png
71,72,Washington Sundar,7,7,17.4,146,3,28/3,48.66,8.26,35.33,0,0,2023,SRH,washingtonsundar,https://scores.iplt20.com/ipl/playerimages/Washington%20Sundar.png
72,73,Josh Hazlewood,3,3,9.0,76,3,15/2,25.33,8.44,18.0,0,0,2023,RCB,joshhazlewood,https://scores.iplt20.com/ipl/playerimages/Josh%20Hazlewood.png
73,74,Nitish Rana,14,6,8.5,75,3,17/2,25.0,8.49,17.66,0,0,2023,KKR,nitishrana,https://scores.iplt20.com/ipl/playerimages/Nitish%20Rana.png
74,75,Yudhvir Singh,3,3,8.0,71,3,20/2,23.66,8.87,16.0,0,0,2023,LSG,yudhvirsingh,https://scores.iplt20.com/ipl/playerimages/Yudhvir%20Singh.png
75,76,Glenn Maxwell,14,7,10.2,94,3,3/1,31.33,9.09,20.66,0,0,2023,RCB,glennmaxwell,https://scores.iplt20.com/ipl/playerimages/Glenn%20Maxwell.png
76,77,Hardik Pandya,16,11,25.0,228,3,10/1,76.0,9.12,50.0,0,0,2023,GT,hardikpandya,https://scores.iplt20.com/ipl/playerimages/Hardik%20Pandya.png
77,78,Arjun Tendulkar,4,4,9.5,92,3,9/1,30.66,9.35,19.66,0,0,2023,MI,arjuntendulkar,https://scores.iplt20.com/ipl/playerimages/Arjun%20Tendulkar.png
78,79,Hrithik Shokeen,8,8,19.0,187,3,34/2,62.33,9.84,38.0,0,0,2023,MI,hrithikshokeen,https://scores.iplt20.com/ipl/playerimages/Hrithik%20Shokeen.png
79,80,Asif K,4,4,14.0,138,3,42/2,46.0,9.85,28.0,0,0,2023,MRR,asifk,https://scores.iplt20.com/ipl/playerimages/Asif%20K.png
80,81,Sikandar Raza,7,6,12.0,119,3,19/1,39.66,9.91,24.0,0,0,2023,PBKS,sikandarraza,https://scores.iplt20.com/ipl/playerimages/Sikandar%20Raza.png
81,82,Rajvardhan Hangargekar,2,2,6.0,60,3,36/3,20.0,10.0,12.0,0,0,2023,CSK,rajvardhanhangargekar,https://scores.iplt20.com/ipl/playerimages/Rajvardhan%20Hangargekar.png
82,83,Mohsin Khan,5,4,10.0,107,3,24/1,35.66,10.7,20.0,0,0,2023,LSG,mohsinkhan,https://scores.iplt20.com/ipl/playerimages/Mohsin%20Khan.png
83,84,Chris Jordan,6,6,22.0,237,3,7/1,79.0,10.77,44.0,0,0,2023,MI,chrisjordan,https://scores.iplt20.com/ipl/playerimages/Chris%20Jordan.png
84,85,Chetan Sakariya,2,2,8.0,89,3,53/2,29.66,11.12,16.0,0,0,2023,DC,chetansakariya,https://scores.iplt20.com/ipl/playerimages/Chetan%20Sakariya.png
85,86,Navdeep Saini,2,2,6.0,74,3,40/3,24.66,12.33,12.0,0,0,2023,RR,navdeepsaini,https://scores.iplt20.com/ipl/playerimages/Navdeep%20Saini.png
86,87,Adil Rashid,2,2,7.0,56,2,23/2,28.0,8.0,21.0,0,0,2023,SRH,adilrashid,https://scores.iplt20.com/ipl/playerimages/Adil%20Rashid.png
87,88,Lalit Yadav,6,4,13.0,118,2,29/1,59.0,9.07,39.0,0,0,2023,DC,lalityadav,https://scores.iplt20.com/ipl/playerimages/Lalit%20Yadav.png
88,89,Jofra Archer,5,5,20.0,190,2,35/1,95.0,9.5,60.0,0,0,2023,MI,jofraarcher,https://scores.iplt20.com/ipl/playerimages/Jofra%20Archer.png
89,90,Kuldip Yadav,2,2,7.0,68,2,18/1,34.0,9.71,21.0,0,0,2023,RR,kuldipyadav,https://scores.iplt20.com/ipl/playerimages/Kuldip%20Yadav.png
